pfr_uid,uid,name
PFR:HoweGr00,buddyhowell|1996-03-27,Buddy Howell
PFR:IrviIs00,isaiahirving|1994-06-09,Isaiah Irving
PFR:IsidDa00,dannyisidora|1994-06-05,Danny Isidora
PFR:JackDa01,dariusjackson|1993-12-01,Darius Jackson
PFR:JackJ.00,jcjackson|1995-11-17,J.C. Jackson
PFR:JameCr01,craigjames|1996-04-29,Craig James
PFR:JarrTy00,tyriquejarrett|1994-02-16,Tyrique Jarrett
PFR:JarvRi00,richardjarvis|1995-04-20,Richard Jarvis
PFR:JeroLo00,lorenzojerome|1995-01-20,Lorenzo Jerome
PFR:JohnAl01,alexanderjohnson|1991-12-24,Alexander Johnson
PFR:JohnCh04,chrisjohnson|1985-09-23,Chris Johnson
PFR:JohnCh98,charlesjohnson|1986-07-10,Charles Johnson
PFR:JohnDa09,dannyjohnson|1995-11-17,Danny Johnson
PFR:JohnDe25,derrickjohnson|1982-11-22,Derrick Johnson
PFR:JohnIs00,isaiahjohnson|1992-10-14,Isaiah Johnson
PFR:JohnLy00,lyndonjohnson|1994-05-23,Lyndon Johnson
PFR:JohnMi98,michaeljohnson|1987-02-07,Michael Johnson
PFR:JohnRo06,roderickjohnson|1995-11-28,Roderick Johnson
PFR:JohnTr07,trevonjohnson|1995-02-10,Tre'Von Johnson
PFR:JoneAn01,andyjones|1994-06-28,Andy Jones
PFR:JoneCh02,chrisjones|1989-07-21,Chris Jones
PFR:JoneCh06,chrisjones|1995-08-13,Chris Jones
PFR:JoneDe02,derrickjones|1994-12-04,Derrick Jones
PFR:JoneJJ00,jjjones|1992-12-06,J.J. Jones
PFR:JoneJo05,joejones|1994-02-21,Joe Jones
PFR:JoneNa00,nazairjones|1994-12-13,Nazair Jones
PFR:JoneSa00,samjones|1996-02-21,Sam Jones
PFR:JoseGr00,gregjoseph|1994-08-04,Greg Joseph
PFR:KaliKy00,kylekalis|1993-12-21,Kyle Kalis
PFR:KaluJo00,joshuakalu|1995-08-28,Joshua Kalu
PFR:KidsDa00,darvinkidsy|1995-03-19,Darvin Kidsy
PFR:KoehMa00,marshallkoehn|1992-08-29,Marshall Koehn
PFR:LaceDe00,deonlacey|1990-07-18,Deon Lacey
PFR:LacyCh00,chrislacy|1996-01-28,Chris Lacy
PFR:LampFo00,forrestlamp|1994-02-20,Forrest Lamp
PFR:LangBr00,brendanlangley|1994-10-16,Brendan Langley
PFR:LangHa00,harveylangi|1992-09-24,Harvey Langi
PFR:LawrDe02,devaroelawrence|1992-10-13,Devaroe Lawrence
PFR:LeexCa01,cameronlee|1993-12-28,Cameron Lee
PFR:LeexEr00,ericlee|1994-08-06,Eric Lee
PFR:LeggJo00,jordanleggett|1995-01-31,Jordan Leggett
PFR:LenoLa00,lancelenoir|1995-02-09,Lance Lenoir
PFR:LeslJo00,jordanleslie|1991-10-31,Jordan Leslie
PFR:LeviCo00,coreylevin|1994-08-12,Corey Levin
PFR:LewiLa01,latroylewis|1993-11-09,LaTroy Lewis
PFR:LewiRy01,ryanlewis|1994-04-15,Ryan Lewis
PFR:LiedMi00,michaelliedtke|1992-01-15,Michael Liedtke
PFR:LighAl00,alexlight|1996-05-02,Alex Light
PFR:LoewMi00,mitchellloewen|1993-02-14,Mitchell Loewen
PFR:LoveMi00,mikelove|1994-01-22,Mike Love
PFR:MabiGr00,gregmabin|1994-06-25,Greg Mabin
PFR:MaddTr01,tremadden|1993-08-16,Tre Madden
PFR:MagnEr00,erikmagnuson|1994-01-05,Erik Magnuson
PFR:MaheBr01,brettmaher|1989-11-21,Brett Maher
PFR:MahoBr00,brendanmahon|1995-01-17,Brendan Mahon
PFR:MallRy02,ryanmalleck|1993-07-22,Ryan Malleck
PFR:MalvCa00,cameronmalveaux|1994-08-22,Cameron Malveaux
PFR:MarsBr00,brandonmarshall|1984-03-23,Brandon Marshall
PFR:MarsBr01,brandonmarshall|1989-09-10,Brandon Marshall
PFR:MarsTr00,treymarshall|1996-02-13,Trey Marshall
